match_id,season,player_name,team_name,available,reason
335982,2008,T Natarajan,Kolkata Knight Riders,Yes,Fit
335982,2008,DJ Hooda,Royal Challengers Bangalore,Yes,Fit
335982,2008,KS Williamson,Royal Challengers Bangalore,Yes,Fit
335982,2008,N Rana,Royal Challengers Bangalore,Yes,Fit
335982,2008,AT Rayudu,Royal Challengers Bangalore,Yes,Fit
335982,2008,NV Ojha,Royal Challengers Bangalore,Yes,Fit
335982,2008,RD Gaikwad,Royal Challengers Bangalore,Yes,Fit
335982,2008,SS Tiwary,Kolkata Knight Riders,Yes,Fit
335982,2008,MA Agarwal,Kolkata Knight Riders,Yes,Fit
335982,2008,MM Ali,Royal Challengers Bangalore,Yes,Fit
335982,2008,Mohammed Siraj,Kolkata Knight Riders,Yes,Fit
335982,2008,MA Starc,Royal Challengers Bangalore,Yes,Fit
335982,2008,JH Kallis,Royal Challengers Bangalore,Yes,Fit
335982,2008,JC Buttler,Royal Challengers Bangalore,Yes,Fit
335982,2008,DW Steyn,Royal Challengers Bangalore,Yes,Fit
335982,2008,DS Kulkarni,Royal Challengers Bangalore,Yes,Fit
335982,2008,M Vijay,Kolkata Knight Riders,Yes,Fit
335982,2008,CV Varun,Kolkata Knight Riders,Yes,Fit
335982,2008,NT Tilak Varma,Kolkata Knight Riders,Yes,Fit
335982,2008,M Prasidh Krishna,Kolkata Knight Riders,Yes,Fit
1082591,2017,MG Johnson,Sunrisers Hyderabad,Yes,Fit
1082591,2017,MM Ali,Sunrisers Hyderabad,Yes,Fit
1082591,2017,JH Kallis,Sunrisers Hyderabad,No,Shoulder injury
1082591,2017,DW Steyn,Sunrisers Hyderabad,Yes,Fit
1082591,2017,TA Boult,Royal Challengers Bangalore,Yes,Fit
1082591,2017,MC Henriques,Royal Challengers Bangalore,Yes,Fit
1082591,2017,JP Faulkner,Sunrisers Hyderabad,Yes,Fit
1082591,2017,B Kumar,Sunrisers Hyderabad,Yes,Fit
1082591,2017,M Morkel,Royal Challengers Bangalore,Yes,Fit
1082591,2017,Shubman Gill,Royal Challengers Bangalore,Yes,Fit
1082591,2017,SS Iyer,Sunrisers Hyderabad,Yes,Fit
1082591,2017,DJ Bravo,Sunrisers Hyderabad,Yes,Fit
1082591,2017,Mohammed Shami,Sunrisers Hyderabad,Yes,Fit
1082591,2017,RA Tripathi,Sunrisers Hyderabad,Yes,Fit
1082591,2017,CV Varun,Sunrisers Hyderabad,Yes,Fit
1082591,2017,Imran Tahir,Sunrisers Hyderabad,Yes,Fit
1082591,2017,JP Duminy,Royal Challengers Bangalore,Yes,Fit
1082591,2017,BJ Hodge,Royal Challengers Bangalore,Yes,Fit
1082591,2017,AJ Finch,Sunrisers Hyderabad,Yes,Fit
1082591,2017,I Sharma,Sunrisers Hyderabad,No,Calf injury
1082592,2017,PP Chawla,Mumbai Indians,Yes,Fit
1082592,2017,RD Chahar,Rising Pune Supergiant,Yes,Fit
1082592,2017,K Rabada,Mumbai Indians,Yes,Fit
1082592,2017,F du Plessis,Rising Pune Supergiant,Yes,Fit
1082592,2017,CH Gayle,Rising Pune Supergiant,Yes,Fit
1082592,2017,G Gambhir,Rising Pune Supergiant,Yes,Fit
1082592,2017,SP Narine,Rising Pune Supergiant,Yes,Fit
1082592,2017,CH Morris,Rising Pune Supergiant,Yes,Fit
1082592,2017,B Sai Sudharsan,Mumbai Indians,Yes,Fit
1082592,2017,KL Rahul,Rising Pune Supergiant,Yes,Fit
1082592,2017,AM Rahane,Mumbai Indians,Yes,Fit
1082592,2017,Z Khan,Mumbai Indians,Yes,Fit
1082592,2017,Ishan Kishan,Mumbai Indians,Yes,Fit
